Temp	date	dt	vW	dW	method	ef	aer	wd	lg_aer	lg_ef	season1	season2	season3	h	t	season4
-1.83333333	06JAN2017	06JAN2017:17:00:00	0.384038706	197.40107	1	1.00328026	581.26399923	S	6.3652050413	0.0032748917	W	W	W	17	1601	3
-1.83333333	06JAN2017	06JAN2017:17:00:00	0.384038706	197.40107	4	1.02565826	570.45983615	S	6.3464427657	0.0253346113	W	W	W	17	1601	3
-1.83333333	28JAN2017	28JAN2017:08:00:00	3.33737946	138.229215	1	0.86962912	1209.1953692	E	7.0977104333	-0.139688457	W	W	W	8	2120	3
-1.83333333	28JAN2017	28JAN2017:08:00:00	3.33737946	138.229215	4	0.746063659	1778.3674077	E	7.4834510357	-0.292944349	W	W	W	8	2120	3
-1.83333333	11FEB2017	11FEB2017:08:00:00	1.46190498	110.300229	1	1.06876849	1350.9938	E	7.2085957488	0.0665070417	W	W	W	8	2456	3
-1.83333333	11FEB2017	11FEB2017:08:00:00	1.46190498	110.300229	4	0.871840548	1346.9669923	E	7.2056106715	-0.13714873	W	W	W	8	2456	3
-1.83333333	13FEB2017	13FEB2017:09:00:00	2.47935923	117.675119	1	1.02411435	678.09658	E	6.5192897262	0.0238281903	W	W	W	9	2505	3
-1.83333333	13FEB2017	13FEB2017:09:00:00	2.47935923	117.675119	4	0.989714952	1100.9371231	E	7.0039170262	-0.010338305	W	W	W	9	2505	3
-1.75	28JAN2017	28JAN2017:20:00:00	1.99942399	138.876319	1	0.85851681	994.78666923	E	6.9025283114	-0.152549018	W	W	W	20	2132	3
-1.75	28JAN2017	28JAN2017:20:00:00	1.99942399	138.876319	4	0.77551867	1437.7831615	E	7.2708577352	-0.254223222	W	W	W	20	2132	3
-1.75	08FEB2017	08FEB2017:16:00:00	0.764504407	102.900786	1	0.95301847	883.43064615	E	6.7838127897	-0.048120995	W	W	W	16	2392	3
-1.75	08FEB2017	08FEB2017:16:00:00	0.764504407	102.900786	4	0.829749765	844.20308462	E	6.7383930872	-0.186631112	W	W	W	16	2392	3
-1.75	09FEB2017	09FEB2017:08:00:00	1.87367928	114.443976	1	1.2471565	559.39896769	E	6.3268629354	0.22086616	W	W	W	8	2408	3
-1.75	09FEB2017	09FEB2017:08:00:00	1.87367928	114.443976	4	1.0172802	558.35531231	E	6.3249955201	0.0171325953	W	W	W	8	2408	3
-1.75	11FEB2017	11FEB2017:03:00:00	1.05942614	109.218721	1	0.69962211	463.24061538	E	6.1382466068	-0.357214933	W	W	W	3	2451	3
-1.75	11FEB2017	11FEB2017:03:00:00	1.05942614	109.218721	4	0.526305072	636.35888615	E	6.4557626906	-0.64187425	W	W	W	3	2451	3
-1.75	11FEB2017	11FEB2017:06:00:00	1.79861546	109.325163	1	1.0959464	952.42706923	E	6.8590135363	0.0916182822	W	W	W	6	2454	3
-1.75	11FEB2017	11FEB2017:06:00:00	1.79861546	109.325163	4	0.916801316	1318.7451769	E	7.1844359399	-0.086864498	W	W	W	6	2454	3
-1.75	11FEB2017	11FEB2017:07:00:00	1.58878527	110.21948	1	0.90049535	782.57126154	E	6.6625849873	-0.104810278	W	W	W	7	2455	3
-1.75	11FEB2017	11FEB2017:07:00:00	1.58878527	110.21948	4	0.751545211	1140.0032	E	7.0387863484	-0.285623911	W	W	W	7	2455	3
-1.75	14FEB2017	14FEB2017:02:00:00	1.2500422	120.246481	1	0.85776921	477.08179462	E	6.1676879534	-0.153420202	W	W	W	2	2522	3
-1.75	14FEB2017	14FEB2017:02:00:00	1.2500422	120.246481	4	0.704840251	494.14839	E	6.2028358567	-0.349784096	W	W	W	2	2522	3
-1.66666667	05JAN2017	05JAN2017:17:00:00	0.964101184	344.570361	1	1.72614852	923.13923846	N	6.8277800774	0.5458926376	W	W	W	17	1577	3
-1.66666667	05JAN2017	05JAN2017:17:00:00	0.964101184	344.570361	4	1.34076076	822.4813	N	6.7123257468	0.2932371842	W	W	W	17	1577	3
